numero_de_publication;date_de_publication;type_de_publication;type_de_demande;numero_de_depot;date_de_depot;priorite_s;cib;cpc;titre
FR3090304;2020-06-26;A3;Certificat d'utilité;FR1915399;2019-12-23;ES201831991 (20181224);A47C  19/04;A47C  19/045,A47C  19/045;ELEVATEUR DE LITS
FR3086167;2020-03-27;A3;Certificat d'utilité;FR1903784;2019-04-09;FR1858650 (20180924);A61G   7/02,A61F  13/49;A61F   5/44,A61F2005/4402,A61G   9/00;SYSTEME HYGIENIQUE POUR PERSONNES INCONTINENTES ALITEES
FR3089541;2020-06-12;A1;Demande française;FR1872367;2018-12-05;FR1872367 (20181205);E06B   9/17,E06B   9/02,G08B  13/02;E06B   9/88,E06B2009/1505,E06B2009/885;Système de détection d'effraction autonome et communiquant pour un volet roulant
FR3089599;2020-06-12;A1;Demande française;FR1872429;2018-12-06;FR1872429 (20181206);F17C   5/02,F17C  13/04,G05D  16/20;F17C   5/02,F17C   5/06,F17C2201/0109,F17C2201/032,F17C2201/035,F17C2201/054,F17C2203/0391,F17C2205/0314,F17C2205/0326,F17C2205/0332,F17C2205/0338,F17C2205/0364,F17C2221/014,F17C2223/0161,F17C2223/035,F17C2225/0115,F17C2225/0161,F17C2225/033,F17C2225/035,F17C2227/0107,F17C2227/0393,F17C2250/043,F17C2250/0434,F17C2250/0636,F17C2250/075,F17C2260/021,F17C2260/036,F17C2260/044,F17C2265/063,F17C2270/0171;Réservoir de stockage de fluide cryogénique
FR3089638;2020-06-12;A1;Demande française;FR1872432;2018-12-06;FR1872432 (20181206);G01T   1/38;G01T   1/17,G01T   7/005;PROCEDE D’OPTIMISATION, PRODUIT PROGRAMME D’ORDINATEUR, PROCEDE D’ANALYSE ET CALCULATEUR ASSOCIES
FR3089760;2020-06-19;A1;Demande française;FR1872854;2018-12-13;FR1872854 (20181213);A23L   7/00,A23L   7/10;A23L   7/10,A23L   7/139,A23L   7/196;PROCEDE DE TRAITEMENT D’UN GRAIN DE RIZ ET GRAIN DE RIZ TRAITE
FR3089900;2020-06-19;A1;Demande française;FR1873223;2018-12-18;FR1873223 (20181218);B60N   2/838,B60N   2/20,B60N   2/809;B60N   2/203,B60N   2/6009,B60N   2/688,B60N   2/809,B60N   2/844,B60N   2/847;Appui-tête pour dossier de siège réversible
FR3090266;2020-06-19;A1;Demande française;FR1873034;2018-12-17;FR1873034 (20181217);H05K   7/20;H05K   7/205,H05K   7/209;Dispositif de commande et système de contrôle d’une machine électrique tournante
FR3090843;2020-06-26;A1;Demande française;FR1873430;2018-12-19;FR1873430 (20181219);F28F   9/02;B60H   1/00521,B60H2001/00635,B60K  11/04,F28D   1/024,F28D   1/04,F28F   9/002,F28F2230/00,F28F2265/28,F28F2265/30,F28F2275/14,F28F2280/06,F28F2280/08;Dispositif d’étanchéité pour échangeur de chaleur de véhicule automobile
FR3090999;2020-06-26;A1;Demande française;FR1873668;2018-12-20;FR1873668 (20181220);H01L  21/208;H01L  21/0206,H01L  21/28587,H01L  29/2003,H01L  29/66522,H01L  29/66666,H01L  29/7827,H01L  33/38,H01L  33/405;Procédé de fabrication d'un composant semiconducteur à base d'un composé III-N
FR3091042;2020-06-26;A1;Demande française;FR1873832;2018-12-21;FR1873832 (20181221);H01M   4/26,H01M   4/24,H01M   4/48,H01M  10/24;H01M   4/08,H01M   4/1395,H01M   6/06,H01M  10/30,H01M   4/0435,H01M   4/0497,H01M   4/244,H01M   4/623,H01M2004/027,Y02E  60/10,H01M   4/043,H01M   4/244,H01M   4/623,H01M  10/36,H01M2004/027;Procédé de fabrication d’une électrode de zinc par voie aqueuse
FR3091431;2020-07-03;A1;Demande française;FR1874229;2018-12-27;FR1874229 (20181227);H03M   1/06,G06F  11/00;H03M   1/0614,H03M   1/1038,H03M   1/12;Procédé de correction des défauts introduits par un système de numérisation sur un signal IQ et dispositifs associés
FR3091496;2020-07-10;A1;Demande française;FR1900022;2019-01-03;FR1900022 (20190103);B32B  25/02,B32B   3/16,B32B   5/24,B32B  25/04;C08J   5/18,C08J2307/02,C08J2321/02;Nappe pour former une étoffe pouvant remplacer le cuir et procédé de fabrication d’une étoffe de ce genre
FR3092766;2020-08-21;A1;Demande française;FR1901643;2019-02-19;FR1901643 (20190219);A63B  29/00,A62B   1/08,H02K   7/10;A62B   1/06,A62B  35/0093,A63B  21/00181,A63B  21/0058,A63B  21/153,A63B  29/02,A63B  69/0048,A63B  71/0622,A63B2071/0081,A63B2071/0638,A63B2071/0666,A63B2220/10,A63B2220/24,A63B2220/34,A63B2220/805;Dispositif d’assurage pour l’escalade à assistance
FR3095055;2020-10-16;A1;Demande française;FR1903998;2019-04-10;FR1903998 (20190410);G06F   3/01,G06Q  50/12;G06F   3/01,G06Q  10/08,G06Q  50/12;Appareil électronique portatif destiné aux serveurs en restauration permettant de gérer de manière optimale les nombreuses demandes des clients durant les services, en dehors des prises de commandes
FR3090676;2020-06-26;A1;Demande française;FR1900921;2019-01-31;FR1873945 (20181221);C08L   9/00,B60C   1/00,B60C  13/00,C08K   3/04,C08K   3/06,C08K   5/47,C08L  45/00,C08L  47/00,C08L  53/02;B60C   1/0025,C08L   9/00,C08L   9/00,C08L   9/06,C08L  57/02,C08L  91/00,C08L  91/06,C08K   3/04,C08K   5/18,C08K   5/09,C08K   3/22,C08K   3/06,C08K   5/47;Pneumatique pourvu d'un flanc externe dont la composition comprend un élastomère thermoplastique et une résine hydrocarbonée
FR3092264;2020-08-07;A1;Demande française;FR1901173;2019-02-06;FR1901173 (20190206);B21D  37/12,B21D  24/00;B21D  28/325,B21D  37/12,B30B   1/40;DISPOSITIF DE MISE EN FORME AVEC COULISSEAU SUSPENDU DANS PRESSEUR AVEC CAME TRAVERSANTE
FR3093354;2020-09-04;A1;Demande française;FR2001920;2020-02-26;US62/812389 (20190301);F16L  23/10,B64F   1/36;F16L  23/08,F16L  23/10,F16L  23/10;Raccord de fluide
FR3093386;2020-09-04;A1;Demande française;FR1902072;2019-02-28;FR1902072 (20190228);H02K   3/48,H02K   1/16;H02K   3/12,H02K   3/505;Stator de machine électrique tournante
FR3093750;2020-09-18;A1;Demande française;FR1902519;2019-03-12;FR1902519 (20190312);E05B  85/10,E05B  85/14;E05B  81/76,E05B  81/90,E05B  85/103,E05B  85/107;Poignée d’ouvrant pour véhicule automobile
FR3094055;2020-09-25;A1;Demande française;FR1902949;2019-03-21;FR1902949 (20190321);F16F  15/121,F16D  13/46,F16F  15/131,F16F  15/139;F16F  15/13135,F16F  15/1336,F16F  15/139,F16F  15/31,F16F2230/0041,F16F2238/022,F16F  15/139;Dispositif amortisseur
FR3094075;2020-09-25;A1;Demande française;FR1902750;2019-03-18;FR1902750 (20190318);F24D  13/00,B60H   1/00,H05B   3/20;B60H   1/2226,B60H   1/2227,B60H2001/2278,H05B   3/267,H05B2203/013;PANNEAU RADIANT
FR3095349;2020-10-30;A1;Demande française;FR1904457;2019-04-26;FR1904457 (20190426);A61M  31/00,A61B   8/06,A61B  17/12;A61B   1/00073,A61B   1/31,A61B   5/489,A61B  17/3423,A61B  90/30,A61B2017/3452,A61B2017/3456;DISPOSITIF POUR LE TRAITEMENT DE LA MALADIE HEMORROÏDAIRE
FR3095990;2020-11-20;A1;Demande française;FR2004701;2020-05-13;JP2019-091036 (20190514);B60K   1/00;B60K   1/00,B60K2001/001,B60Y2410/10,F16H  57/02,F16H  57/021,F16H  57/023,F16H  57/028,F16H  57/03,F16H  57/037,F16H  57/04;DISPOSITIF D’ENTRAINEMENT DE VEHICULE
FR3096627;2020-12-04;A1;Demande française;FR2005710;2020-05-29;JP2019-101512 (20190530);B60R  11/02;B60R  11/04,B60R2011/0026;STRUCTURE DE FIXATION DE CAMERA EMBARQUEE DANS UN VEHICULE
FR3083855;2020-01-17;A1;Demande française;FR1800768;2018-07-16;FR1800768 (20180716);F41A   5/30,F41A   3/48,F41A   3/72;F41A   5/30,F41A   9/64;SYSTEME MECANIQUE INCORPORE DANS UNE ARME ET SON COLLECTEUR DE GAZ POUR ACTIONNER PAR LE MONTAGE D'UN CHARGEUR SPECIAL UN MODE DE FONCTIONNEMENT SPECIFIQUE
FR3094365;2020-10-02;A1;Demande française;FR1903170;2019-03-26;FR1903170 (20190326);C04B  26/26,C04B  24/04,C08L  95/00,C09D 195/00,E01C   7/35;C04B  26/26,C04B2111/0075,C08L  95/005,C08L2555/28,Y02W  30/91;Additifs pour matériau bitumineux coulé à froid avec un liant paraffinique à montée en cohésion rapide
FR3088716;2020-05-22;A1;Demande française;FR1871573;2018-11-16;FR1871573 (20181116);G01C  21/34,G01W   1/10;G01C  21/3453,G01C  21/3461,G01C  21/3691,G01C  21/3697;PROCEDE DE DETERMINATION D’UN CUMUL D’INTEMPERIES SUR UN TRAJET
FR3089049;2020-05-29;A1;Demande française;FR1871854;2018-11-26;FR1871854 (20181126);H01H  71/12,H01H   3/30,H01H  71/52;H01H   3/30,H01H   3/30,H01H   3/3031,H01H   3/3042,H01H2003/3063;MÉCANISME POUR LA COMMANDE DE FERMETURE ET D’OUVERTURE D’UN DISPOSITIF DE COUPURE DE COURANT POUR APPAREIL ÉLECTRIQUE INTERRUPTEUR
FR3092263;2020-08-07;A1;Demande française;FR1901170;2019-02-06;FR1901170 (20190206);B01J  19/26,B01J   8/38,C10G  75/00;C10G  47/26,C10G  75/00,B01J   4/002,B01J   8/004,B01J   8/12,B01J  19/2405,B01J  19/26,B01J2204/002,B01J2208/00902,B01J2219/194,B01J   4/001,B01J  10/002,C10G  47/30;ENCEINTE COMPRENANT UN FOND DE SECTION DECROISSANTE ET D’ANGLE D’INCLINAISON VARIABLE AVEC DES INJECTIONS LATERALES DE LIQUIDE POUR LIMITER L’ENCRASSEMENT
FR3093779;2020-09-18;A1;Demande française;FR1902459;2019-03-11;FR1902459 (20190311);F16D  65/00,B01D  50/00,B60T  17/00;F16D  65/0031;Dispositif de séparation et utilisation du dispositif pour séparer et collecter les poussières de freinage
FR3095983;2020-11-20;A1;Demande française;FR1904962;2019-05-13;FR1904962 (20190513);B60B   9/26,B60B  19/04;B60B   9/28,B60B  19/02,B60B  19/04,B60B2200/20,B60B2200/40,B60B2900/351,B60B2900/531;ROUE TRANSFORMABLE AVEC DISPOSITIF DE VERROUILLAGE
FR3085887;2020-03-20;A1;Demande française;FR1858267;2018-09-14;FR1858267 (20180914);B60J  10/70,B60J  10/20,B60J  10/30;B60J  10/27,B60J  10/70;PROFILE D’ETANCHEITE DE PARE-BRISE POUR DOUBLE ETANCHEITE
FR3091311;2020-07-03;A1;Demande française;FR1874402;2018-12-31;FR1874402 (20181231);F01D   5/02,F01D   5/30,F01D   9/04,F01D  11/00;F01D   9/041,F01D  11/001,F05D2260/33,Y02T  50/60;Distributeur pour turbine, turbine de turbomachine équipée de ce distributeur et turbomachine équipée de cette turbine.
FR3091808;2020-07-24;A1;Demande française;FR1900485;2019-01-21;FR1900485 (20190121);A43B   3/16,B29D  35/00;A43B   3/16,A43B   3/163,A43B   3/166,B29D  35/0009,B29D  35/02,B29D  35/126;Sur-chaussure et procédé de fabrication d’une telle sur-chaussure
FR3090526;2020-06-26;A1;Demande française;FR1873480;2018-12-20;FR1873480 (20181220);B60R  11/00;B60R   7/06;DISPOSITIF DE SUPPORT D’ÉQUIPEMENT À PIÈCE MOBILE À EXTRÉMITÉ RÉTRACTABLE, POUR UNE PAROI
FR3091620;2020-07-10;A1;Demande française;FR1900127;2019-01-07;FR1900127 (20190107);H01L  21/46,H01L  21/02;H01L  21/76254,H01L  21/76254;Procédé de transfert de couche avec réduction localisée d’une capacité à initier une fracture
FR3089497;2020-06-12;A1;Demande française;FR1872613;2018-12-10;FR1872613 (20181210);B64D  45/08;G08G   5/00,G01C  23/00,G05D   1/0676,B64D  43/00,G08G   5/02;Procédé et dispositif d’aide au pilotage d’un aéronef lors d’une approche d’une piste d’atterrissage en vue d’un atterrissage
FR3090429;2020-06-26;A1;Demande française;FR1873329;2018-12-19;FR1873329 (20181219);B22C   9/20,B22C   7/02,B22C   9/04;B22C   7/02,B22C   9/04,B22C   9/22,B22D  27/045,B22C   7/02,B28B   1/262,B28B   1/265,B28B   3/003,B28B   7/342;Fabrication de pièces par fonderie en cire perdue
FR3090850;2020-06-26;A1;Demande française;FR1873822;2018-12-21;FR1873822 (20181221);G01C  21/20,G01C  21/00,G08G   5/00;G08G   5/003,G08G   5/0047,G08G   5/0095,G08G   5/065,G01C  21/20,G01C  21/3407,G08G   5/0021,G08G   5/0026,G08G   5/0034,G08G   5/0039,G08G   5/0043,G08G   5/0069,G08G   5/0082,G08G   5/025,G01C  21/20,G08G   5/006,G08G   5/0069,G08G   5/025;Procédé de détermination d'une trajectoire optimisée à suivre par un aéronef, procédé de contrôle, produit programme d'ordinateur et systèmes associés
FR3091639;2020-07-17;A1;Demande française;FR1900268;2019-01-11;FR1900268 (20190111);A23J   3/04,A23D   9/04,A23J   3/34,C08L   5/08,C11B   1/00,C12P  21/06;A23J   3/04;Procédé de préparation de nutriments à partir d’insectes
FR3092201;2020-07-31;A1;Demande française;FR1900791;2019-01-29;FR1900791 (20190129);H01L  27/06;H01Q   1/38,H01Q   9/0407,H01Q   9/27,H01Q  11/08;Procédé de fabrication d’un dispositif radiofréquence comprenant un réseau solide tridimensionnel de mailles diélectriques
FR3091528;2020-07-10;A1;Demande française;FR1900147;2019-01-08;FR1900147 (20190108);C03C  13/06,C03C  13/00;C03C   3/091,C03C  13/06;FIBRES MINERALES
FR3091597;2020-07-10;A1;Demande française;FR1900061;2019-01-04;FR1900061 (20190104);G02B  27/01,H04N   5/74;G02B  27/0018,G02B2027/0121;Procédé et dispositif de génération d’une image par bandes pour un système d’affichage tête haute
FR3091623;2020-07-10;A1;Demande française;FR1900047;2019-01-03;FR1900047 (20190103);H01M  10/0525,H01M   4/38,H01M   4/46,H01M  10/056;H01M   4/0442,H01M   4/0447,H01M   4/131,H01M   4/134,H01M   4/136,H01M   4/366,H01M   4/38,H01M   4/382,H01M   4/525,H01M   4/5815,H01M   4/5825,H01M   4/626,H01M   4/661,H01M  10/052,H01M  10/0565,H01M  10/0568,H01M2300/0085,Y02E  60/10,H01M   4/382,H01M   4/483,H01M   4/505,H01M   4/525,H01M   4/5815,H01M   4/5825,H01M   4/661,H01M  10/052,H01M  10/0565,H01M  10/0568,H01M  10/0569,H01M  10/42,H01M2300/0025,H01M2300/0085;CELLULE ELECTROCHIMIQUE POUR ACCUMULATEUR AU LITHIUM COMPRENANT UNE ELECTRODE NEGATIVE SPECIFIQUE EN LITHIUM METALLIQUE ET UNE ELECTRODE POSITIVE SUR COLLECTEUR EN ALUMINIUM
FR3091663;2020-07-17;A1;Demande française;FR1900271;2019-01-11;FR1900271 (20190111);B22F   3/26,B22F   3/24;B22F   3/1025,B22F2998/10;Procédé de déliantage
FR3091747;2020-07-17;A1;Demande française;FR1900290;2019-01-11;FR1900290 (20190111);F23D  14/20;C25B   1/04,C25B   9/19,C25B   9/73,F23C  13/00,F23C2900/9901,F23D  14/00,F23Q   2/16,Y02E  60/36;Brûleur à hydrogène muni d’une cellule électrochimique à membrane échangeuse de protons compacte
FR3091988;2020-07-31;A1;Demande française;FR1900756;2019-01-29;FR1900756 (20190129);A61B  17/04,A61F   2/08;A61B  17/0401,A61B  17/0483,A61B2017/00477,A61B2017/0409,A61B2017/0417;INSTRUMENTATION PERMETTANT LA MISE EN PLACE, DANS UN OS OU AUTRE TISSU CORPOREL, D'UNE ANCRE RELIÉE À AU MOINS UN FIL DE SUTURE
FR3092421;2020-08-07;A1;Demande française;FR1900892;2019-01-31;FR1900892 (20190131);G06K   7/10,G06K   9/22;G06K   7/10732,G06K   7/10742,G06K   7/10821,G06K   7/10881,G06K   9/2063;Procédé de lecture manuelle d’un code, et dispositif de lecture pour la mise en œuvre dudit procédé
FR3085385;2020-03-06;A1;Demande française;FR1800924;2018-09-03;FR1800924 (20180903);C12C   1/027,A23L   7/20,C12C   1/125;C12C   1/0275,C12C   1/125,C12C   1/15;PROCEDE DE MALTAGE EN COUCHE FINE
FR3093604;2020-09-11;A1;Demande française;FR1902194;2019-03-04;FR1902194 (20190304);H04L  29/06;B61L   3/002,B61L  15/0027,B61L  15/0081,B61L  27/0094,H04L  67/12,H04L  67/28;Module de collecte de données relatives à un équipement d’un véhicule de transport de passagers.
FR3093764;2020-09-18;A1;Demande française;FR1902670;2019-03-15;FR1902670 (20190315);F01P   5/02,B60K  11/06,B60L  58/26;B60K   1/00,B60K  11/04,B60K2001/005,B60K2001/006,B60L  58/26,F01P   3/18,F01P   5/06,F01P  11/10,F01P2003/187,F04D  17/04,F04D  25/166,Y02T  10/70;MODULE DE REFROIDISSEMENT POUR VÉHICULE AUTOMOBILE ÉLECTRIQUE À TURBOMACHINE TANGENTIELLE
FR3094430;2020-10-02;A1;Demande française;FR1903282;2019-03-28;FR1903282 (20190328);F16D  65/12,F16D  55/22,F16D  65/84;F16D  65/123,F16D  65/127,F16D2055/0058,F16D2065/132,F16D2065/1364,F16D2065/1372,F16D2065/138,F16D2065/1392,F16D2069/0433,F16D2069/0441;Disque de frein, système de freinage à disque et véhicule
FR3085883;2020-03-20;A1;Demande française;FR1858452;2018-09-19;FR1858452 (20180919);B60B   7/02,B60B   7/12;B60B   7/04,B60B   7/065,B60B   7/10,B60B2360/32,B60B2900/133,B60B2900/3312,B60B2900/3318;ROUE DE VEHICULE COMPORTANT UN INSERT ET INSERT CORRESPONDANT
FR3095575;2020-11-06;A1;Demande française;FR1904686;2019-05-03;FR1904686 (20190503);A41D  19/00;A41D  13/084,A41D  13/087,A41D  19/0013,A41D  19/0048,A41D  19/01547,A63B  71/141,A63B2209/10,A63B2102/02;Paire de gants
FR3085118;2020-02-28;A1;Demande française;FR1909196;2019-08-13;KR10-2018-0094336 (20180813);A62C   3/02,B64C  39/02;A62C   3/0235,B64C  39/02,B64D  47/00,B64D  47/08,A62C   3/00,A62C  29/00,B64C  39/024,B64C2201/027,B64C2201/108,B64C2201/12,B64C2201/127,B64C2201/146,B64D   1/04,B64D   1/18,B64F   1/28,A62C   3/0228,A62C  31/02,B60P   3/06,B60P   3/225,B64C  39/024,B64C2201/12,B64C2201/146,B64D   1/18,B64D  47/08,B64F   1/007,G05D   1/0038,A62C  31/005,B64C  39/024,B64C2201/027,B64C2201/12,B64D   1/16,B64D  47/08;DRONE ANTI-INCENDIE POUR GRATTE-CIEL
FR3088314;2020-05-15;A1;Demande française;FR1860326;2018-11-08;FR1860326 (20181108);B65G  17/12,B65B  35/00;B65G   1/127,B65G  17/123,B65G  47/5113,B65G  57/03,B65G  61/00,B65G2201/0238;SYSTEME D'ALIMENTATION D'OBJETS A HAUTEUR VARIABLE POUR UN DISPOSITIF DE PALETTISATION ET DISPOSITIF DE PALETTISATION EQUIPE DUDIT SYSTEME D'ALIMENTATION
FR3088954;2020-05-29;A1;Demande française;FR1871707;2018-11-22;FR1871707 (20181122);F01D  11/02;F01D  11/001,F01D  11/025,F01D  11/16,F05D2240/55,F05D2250/34,F05D2260/31,F16J  15/445,F16J  15/4472;ENSEMBLE D’ETANCHEITE
FR3089101;2020-06-05;A1;Demande française;FR1872309;2018-12-04;FR1872309 (20181204);A47J  27/08;A47J  27/004,A47J  36/06,A47J  36/2488,A47J  45/071;Appareil électroménager pour la cuisson et le chauffage de produits alimentaires
FR3085599;2020-03-13;A1;Demande française;FR1858009;2018-09-06;FR1858009 (20180906);B01J  31/18,B01J  31/22,B01J  31/34,B01J  37/00,C07C   2/30,C07C   9/16,C07C   9/22;B01J  31/143,B01J  31/182,B01J2231/20,B01J2531/0258,B01J2531/62,C07C   2/32,C07C2531/14,C07C2531/22;CATALYSEUR POUR LA PREPARATION DE TRIMERES D'ALPHA-OLEFINE(S)
FR3086888;2020-04-10;A1;Demande française;FR1859327;2018-10-09;FR1859327 (20181009);B60H   1/00,H05K   7/20;B60H   1/00271,B60H2001/00307,H05K   7/20881;SYSTEME DE REFROIDISSEMENT D'UN CALCULATEUR D'UN VEHICULE AUTOMOBILE UTILISANT LE FLUIDE FRIGORIGENE DU DISPOSITIF DE CLIMATISATION DU VEHICULE
FR3088221;2020-05-15;A1;Demande française;FR1860456;2018-11-13;FR1860456 (20181113);B02C  18/36,E03D   9/10;B02C  18/0092,E03C   1/2665,E03D   9/10;DISPOSITIF DE DILACERATION POUR BROYEUR SANITAIRE
FR3090320;2020-06-26;A1;Demande française;FR1873296;2018-12-19;FR1873296 (20181219);A61K  38/17,A01N   1/02,A61K  38/39,A61P   1/18,A61P   3/10,C07K  14/47,C12N   5/071;A61K  38/17,A61K  38/39,A61P   1/18,A61P   3/10,C07K  14/47;UTILISATION DE LA DECORINE DANS LE TRAITEMENT DU DIABETE
FR3089092;2020-06-05;A1;Demande française;FR1872127;2018-11-30;FR1872127 (20181130);A01N  65/00;A01N  65/08;COMPOSITION RÉPULSIVE POUR PROTÉGER LES SEMENCES
FR3091884;2020-07-24;A3;Certificat d'utilité;FR1915006;2019-12-19;IT102019000000454 (20190111);E02D   3/12,E02D  31/00,E21B   7/04;E02D   3/12,E02D  27/38,E02D  31/002,E02D  31/006;Dispositif et procédé pour la réalisation dans le sol d’un écran imperméable ou d’une structure de consolidation du sol
FR3092980;2020-08-28;A1;Demande française;FR1901740;2019-02-21;FR1901740 (20190221);A47L   5/28;A47L   5/12,A47L   9/00,A47L   9/10,A47L   9/1691;Aspirateur équipé d’un dispositif de bridage d’un récipient de stockage de déchets
FR3093041;2020-08-28;A1;Demande française;FR1901881;2019-02-25;FR1901881 (20190225);B60R  13/02;B29C  45/14221,B29C2045/14237,B60R  13/02,B60R2013/0287;Elément de garnissage de véhicule comprenant une couche de revêtement partiellement surmoulée
FR3090054;2020-06-19;A1;Demande française;FR1873049;2018-12-17;FR1873049 (20181217);F16C  19/36;F16C  33/583,F16C  33/6651,F16C  33/6681,F16C  19/26,F16C  33/585,F16C  33/586,F16C  33/6622,F16C  33/6677,F16C2326/01,F16C  19/22,F16C  33/66,F16C  19/26,F16C  33/585,F16C  33/586,F16C  33/6677,F16C  33/6681;Roulement à rouleaux avec canal de lubrification
FR3091220;2020-07-03;A1;Demande française;FR1874273;2018-12-27;FR1874273 (20181227);B60R  13/00,B60R  13/04;B44C   1/228,B60R  13/005,B60R  13/02,B60R  13/04;PIECE DE CARROSSERIE A RAINURES
FR3092792;2020-08-21;A1;Demande française;FR1901594;2019-02-18;FR1901594 (20190218);B60K   1/04,H01M   2/02,H01M  10/615,H01M  10/625;B60K   1/04,B60L  50/64,B60L  58/27,B60L2240/545,H01M  10/052,H01M  10/613,H01M  10/615,H01M  10/625,H01M  10/6568,Y02E  60/10,Y02T  10/70;Unité de stockage d’énergie électrique pour la propulsion d’une machine électrique
FR3092960;2020-08-28;A1;Demande française;FR1901759;2019-02-21;FR1901759 (20190221);A01B  15/02;A01B  15/025,A01B  15/06,A01B  15/10,A01B  35/225;Dispositif de travail du sol à butée de verrouillage désactivable
FR3093153;2020-08-28;A1;Demande française;FR1902007;2019-02-27;FR1902007 (20190227);F16D  69/02,B29B  11/16,B29C  64/10,B33Y  10/00,F16D  13/60;F16D  69/025,F16D  69/026;Procédé de fabrication additif d’une garniture de frottement
FR3093208;2020-08-28;A1;Demande française;FR1902028;2019-02-27;FR1902028 (20190227);G06F   9/52;G06F   9/4494,G06F   9/54;Procédé de validation d’un système flots de données
FR3089744;2020-06-12;A1;Demande française;FR1872398;2018-12-05;FR1872398 (20181205);H04W  48/20,H04W  12/02;H04W  48/08,H04W  84/12,H04W  12/043,H04W  12/50;PROCEDE DE CONFIGURATION AUTOMATIQUE PAR CANAL AUDIO D’UN DISPOSITIF SANS FIL
FR3092186;2020-07-31;A1;Demande française;FR1900671;2019-01-25;FR1900671 (20190125);G06F  21/60;G06F  21/30,G06K   7/1417,G06K   7/1434,G06K  19/06037,G06K  19/06056,G06K  19/0614,G06K  19/06178,H04L   9/3247,H04L  63/08,H04W  12/06,H04W  12/77;Elément de marquage sécurisé et procédés d’encodage et d’authentification dudit élément de marquage
FR3092954;2020-08-21;A1;Demande française;FR1901553;2019-02-15;FR1901553 (20190215);H04W  12/06,H04W  84/10,H04W  88/12;H04L  63/061,H04W  12/069,H04W  12/50;Récupération de clé réseau, envoi de clé réseau, gestion de récupération de clé réseau, terminal, serveur de médiation et point d’accès les mettant en œuvre
FR3093232;2020-08-28;A1;Demande française;FR1901792;2019-02-22;FR1901792 (20190222);H01L  27/11563;G06F  21/72,G06F  21/73,H04L   9/0877,G06F  21/602,G06F  21/72,G11C  16/0441,G11C  16/10,G11C  16/28,G11C  16/30,H04L   9/3278;Dispositif de fonction physiquement non-clonable à transistors, et procédé de réalisation
FR3085789;2020-03-13;A1;Demande française;FR1858189;2018-09-12;FR1858189 (20180912);H01H  33/18,H01H   9/44,H01M   2/20,H01M  10/44,H02J   3/32,H02J   7/00;H01H  33/76,H01H  71/14,H01H  71/2436,H01H  71/32,H01M  10/425,H01M2200/10,H01R  11/288,H01R  11/30,H01M  50/20,H01M  50/502,H01M  50/581,Y02E  60/10;DISPOSITIF DE SOUFFLAGE D'ARC ELECTRIQUE PAR GAZ SOUS PRESSION LORS D'UNE CONNEXION/DECONNEXION ENTRE UNE BORNE DE SORTIE D'ACCUMULATEUR ELECTROCHIMIQUE ET UN BUSBAR
FR3087946;2020-05-01;A1;Demande française;FR1860081;2018-10-31;FR1860081 (20181031);H01M  10/6556,H01M   2/10,H01M  10/613,H01M  10/625,H01M  10/647;H01M  10/625,H01M  10/6554,H01M  10/6556,H01M  50/20,Y02E  60/10;MODULE DE STOCKAGE D’ENERGIE ELECTRIQUE
FR3086697;2020-04-03;A1;Demande française;FR1858931;2018-09-28;FR1858931 (20180928);F01N  11/00,F02D  41/14;F02D  41/0007,F02D  41/005,F02D  41/107,F02D  41/1446,F02D  41/1447,F02D  41/2441,F02D  41/2451,F02M  26/05;ESTIMATION DE LA TEMPERATURE DE GAZ D’ECHAPPEMENT
FR3087869;2020-05-01;A1;Demande française;FR1871311;2018-10-26;FR1871311 (20181026);F16L  33/22,A61M  39/12,F16L  33/207;A61M  39/12,F16L  33/02,F16L  33/025,F16L  33/035,F16L  33/225;DISPOSITIF DE CONNEXION POUR FLUIDE BIOPHARMACEUTIQUE ET PROCEDE DE CONNEXION FLUIDIQUE IRREVERSIBLE
FR3088729;2020-05-22;A1;Demande française;FR1860642;2018-11-16;FR1860642 (20181116);G01R  33/26;G01R  33/246,G01R  33/26;MAGNETOMETRE EN ALIGNEMENT A DECALAGE ANGULAIRE ENTRE POLARISATIONS DES FAISCEAUX DE POMPE ET DE SONDE
FR3088978;2020-05-29;A1;Demande française;FR1871750;2018-11-23;FR1871750 (20181123);F16H  57/04,F02C   7/36,F02K   3/04,F16H   1/36;F16H  57/0421,F16H  57/0456,F16H  57/0482,F16H  57/08,F16H  57/082,F16H  57/0424,F16H  57/043,F16H  57/0482,F16H  57/082,F01D  25/18,F01D  25/18,F05D2260/40311,F05D2260/98,F16H  57/0428,F16H  57/0456,F16H  57/0471,F16H  57/0479,F16H  57/0482;DEFLECTEUR POUR UN REDUCTEUR MECANIQUE DE TURBOMACHINE D’AERONEF
FR3089116;2020-06-05;A1;Demande française;FR1872272;2018-12-04;FR1872272 (20181204);A61F   5/05;A61F   5/0111;Article de maintien d’une articulation d’un porteur
FR3089363;2020-06-05;A1;Demande française;FR1872168;2018-11-30;FR1872168 (20181130);H02K   5/04,H02K  11/215;H02K   1/278,H02K   5/24,H02K   7/14,H02K  11/215;COMPRESSEUR ELECTRIQUE
